market,state,biden_number,trump_number,other_number,biden_percent,trump_percent
Abilene,TX,24404,100838,1727,0.19220439634871503,0.7941938583433752
Abilene,Total,24404,100838,1727,0.19220439634871503,0.7941938583433752
"Albany, GA",GA,65769,99374,1342,0.3950445986124876,0.5968946151304922
"Albany, GA",Total,65769,99374,1342,0.3950445986124876,0.5968946151304922
"Albany, NY",MA,51705,18064,1606,0.7244133099824869,0.2530858143607706
"Albany, NY",NY,333749,282253,14235,0.5295611016173281,0.4478521572043533
"Albany, NY",VT,12705,7114,643,0.6209070472094614,0.34766884957482164
"Albany, NY",Total,398159,307431,16484,0.5514102432714653,0.42576107157992116
Albuquerque,AZ,23293,11442,533,0.6604570715662924,0.32443007825791087
Albuquerque,CO,26384,23539,1244,0.5156448492192234,0.46004260558563137
Albuquerque,NM,445995,349992,17966,0.5479370430479401,0.42999042942282906
Albuquerque,Total,495672,384973,19743,0.5505093359751574,0.42756345042359517
Alexandria,LA,28509,72599,1709,0.2772790491844734,0.7060991859322875
Alexandria,Total,28509,72599,1709,0.2772790491844734,0.7060991859322875
Alpena,MI,8142,15534,357,0.33878417176382475,0.6463612532767444
Alpena,Total,8142,15534,357,0.33878417176382475,0.6463612532767444
Amarillo,NM,7662,19100,609,0.2799313141646268,0.6978188593767126
Amarillo,OK,1154,7443,156,0.1318405118245173,0.850337027304924
Amarillo,TX,31223,126889,2446,0.194465551389529,0.7903000784763139
Amarillo,Total,40039,153432,3211,0.20357226385739416,0.7801018903610905
Atlanta,AL,2878,15043,143,0.15932240921169177,0.8327612931798052
Atlanta,GA,1834670,1583880,44903,0.5297227939862328,0.4573123989267358
Atlanta,NC,1699,5112,82,0.24648193819817205,0.7416219352966777
Atlanta,Total,1839247,1604035,45128,0.5272450772701603,0.45981836997371295
Augusta,GA,111713,109537,2885,0.4984183639324514,0.4887099292836906
Augusta,SC,51363,71475,1744,0.41228267325937934,0.5737185147132009
Augusta,Total,163076,181012,4629,0.46764568403605217,0.5190799416145471
Austin,TX,679384,442513,21436,0.5942135843188292,0.38703772216843213
Austin,Total,679384,442513,21436,0.5942135843188292,0.38703772216843213
Bakersfield,CA,133366,164484,7442,0.43684734614729503,0.5387759915097677
Bakersfield,Total,133366,164484,7442,0.43684734614729503,0.5387759915097677
Baltimore,MD,916480,563539,40461,0.6027570240976534,0.37063230032621275
Baltimore,Total,916480,563539,40461,0.6027570240976534,0.37063230032621275
Bangor,ME,89916,104004,5871,0.45005030256618167,0.5205639893688905
Bangor,Total,89916,104004,5871,0.45005030256618167,0.5205639893688905
Baton Rouge,LA,186434,241787,8059,0.42732648757678554,0.5542014302741359
Baton Rouge,MS,5369,5827,127,0.47416762342135477,0.5146162677735583
Baton Rouge,Total,191803,247614,8186,0.4285114264202876,0.553200045576102
Beaumont,TX,61434,126232,2087,0.3237577271505589,0.6652437642619616
Beaumont,Total,61434,126232,2087,0.3237577271505589,0.6652437642619616
Bend,OR,65962,55646,3626,0.5267099988820927,0.4443362026286791
Bend,Total,65962,55646,3626,0.5267099988820927,0.4443362026286791
Billings,MT,46575,83363,3414,0.34926360309556664,0.6251349811026456
Billings,WY,4198,17619,652,0.18683519515777294,0.784147047042592
Billings,Total,50773,100982,4066,0.3258418313321054,0.648064124861219
Biloxi,MS,46905,89081,2320,0.33913929981345714,0.6440863013896722
Biloxi,Total,46905,89081,2320,0.33913929981345714,0.6440863013896722
Binghamton,NY,74087,85475,3831,0.4534282374397924,0.5231252256828628
Binghamton,Total,74087,85475,3831,0.4534282374397924,0.5231252256828628
Birmingham,AL,338485,569069,12655,0.36783491576370153,0.6184127736199059
Birmingham,Total,338485,569069,12655,0.36783491576370153,0.6184127736199059
Bluefield,VA,3205,16731,198,0.15918347074600178,0.8309824178007351
Bluefield,WV,28539,88058,1549,0.24155705652328474,0.7453320467895654
Bluefield,Total,31744,104789,1747,0.22956320509111947,0.7578030083887763
Boise,ID,159794,234370,12796,0.3926528405740122,0.5759042657755062
Boise,OR,3260,8187,357,0.2761775669264656,0.6935784479837344
Boise,Total,163054,242557,13153,0.3893696688349524,0.5792212320065717
Boston,MA,1957780,908466,66013,0.6676695339668154,0.30981778894702
Boston,NH,355078,309480,13230,0.5238776726646089,0.4566029495948586
Boston,VT,18767,6440,828,0.7208373343575956,0.24735932398694066
Boston,Total,2331625,1224386,80071,0.6412465395444877,0.3367322299112066
Bowling Green,KY,32795,66537,1772,0.3243689666086406,0.6581045260326001
Bowling Green,Total,32795,66537,1772,0.3243689666086406,0.6581045260326001
Buffalo,NY,369015,357537,14488,0.4979690704955198,0.48248002806866025
Buffalo,PA,6824,21322,449,0.23864311942647315,0.7456548347613219
Buffalo,Total,375839,378859,14937,0.4883340804407284,0.4922580184113248
Burlington,NH,45570,31413,1593,0.5799480757483201,0.39977855833842396
Burlington,NY,37564,35158,1254,0.507786309073213,0.47526224721531307
Burlington,VT,211348,99150,10433,0.6585465411568219,0.3089449133925984
Burlington,Total,294482,165721,13280,0.6219484120866008,0.3500041184160783
Butte,MT,56754,57441,3420,0.4825404922841474,0.488381583981635
Butte,Total,56754,57441,3420,0.4825404922841474,0.488381583981635
Casper,WY,16043,48439,2390,0.23990608924512502,0.724353989711688
Casper,Total,16043,48439,2390,0.23990608924512502,0.724353989711688
Cedar Rapids,IA,253679,236524,10411,0.5067357285253709,0.4724678095298973
Cedar Rapids,Total,253679,236524,10411,0.5067357285253709,0.4724678095298973
Champaign,IL,184537,265381,10088,0.40116215875445105,0.5769076925083586
Champaign,Total,184537,265381,10088,0.40116215875445105,0.5769076925083586
"Charleston, SC",SC,235245,229066,8218,0.4978424604627441,0.48476601436102335
"Charleston, SC",Total,235245,229066,8218,0.4978424604627441,0.48476601436102335
"Charleston, WV",KY,28132,93479,1611,0.22830338738212333,0.7586226485530181
"Charleston, WV",OH,26693,77817,1334,0.2521919050678357,0.7352046407921091
"Charleston, WV",WV,81332,175017,4350,0.31197664739795705,0.6713374427980161
"Charleston, WV",Total,136157,346313,7295,0.27800475738364316,0.7071003440425511
Charlotte,NC,706530,793606,22437,0.46403686391391413,0.5212268968384439
Charlotte,SC,92317,132996,3238,0.4039229756159457,0.581909508162292
Charlotte,Total,798847,926602,25675,0.45619099504089944,0.5291469935881182
Charlottesville,VA,77437,44219,2486,0.6237776095116883,0.3561969357671054
Charlottesville,Total,77437,44219,2486,0.6237776095116883,0.3561969357671054
Chattanooga,GA,26944,92994,1598,0.22169562927856767,0.7651560031595577
Chattanooga,NC,3583,12628,212,0.2181696401388297,0.768921634293369
Chattanooga,TN,101037,193112,5323,0.3373837954800449,0.6448415878613025
Chattanooga,Total,131564,298734,7133,0.3007651492463954,0.682928278974284
Cheyenne,NE,4196,10952,376,0.270291162071631,0.7054882762174697
Cheyenne,WY,16420,32769,2034,0.3205591238310915,0.6397321515725358
Cheyenne,Total,20616,43721,2410,0.308867814283788,0.6550256940386834
Chicago,IL,2713612,1336190,73808,0.6580670819985401,0.3240340381364872
Chicago,IN,192350,179090,6483,0.5089661121445374,0.47387959981266026
Chicago,Total,2905962,1515280,80291,0.6455494161655596,0.3366142156460921
Chico,CA,97333,142020,6368,0.396111850431994,0.5779725786562809
Chico,Total,97333,142020,6368,0.396111850431994,0.5779725786562809
Cincinnati,IN,12807,48693,955,0.2050596429429189,0.7796493475302217
Cincinnati,KY,81408,152671,4685,0.3409559230034679,0.6394221909500595
Cincinnati,OH,411072,512352,14916,0.43808427648826653,0.5460195664684443
Cincinnati,Total,505287,713716,20556,0.40763448936274915,0.5757821935059162
Clarksburg,WV,31693,83682,2114,0.26975291303866744,0.7122539131322932
Clarksburg,Total,31693,83682,2114,0.26975291303866744,0.7122539131322932
Cleveland,OH,972315,953801,29855,0.4971009283879976,0.48763555287885146
Cleveland,Total,972315,953801,29855,0.4971009283879976,0.48763555287885146
Colorado Springs,CO,230234,293991,18153,0.4244899313762726,0.5420407907400374
Colorado Springs,Total,230234,293991,18153,0.4244899313762726,0.5420407907400374
"Columbia, MO",MO,86724,146377,5110,0.36406379218424,0.6144846375692139
"Columbia, MO",Total,86724,146377,5110,0.36406379218424,0.6144846375692139
"Columbia, SC",SC,284031,244156,7453,0.5302647300425659,0.45582107385557463
"Columbia, SC",Total,284031,244156,7453,0.5302647300425659,0.45582107385557463
"Columbus, GA",AL,50269,66460,1851,0.42392477652217914,0.5604655085174566
"Columbus, GA",GA,70553,60686,1413,0.5318653318457317,0.4574827367849712
"Columbus, GA",Total,120822,127146,3264,0.48091803591899124,0.5060899885364921
"Columbus, MS",AL,978,6174,41,0.13596552203531212,0.858334491867093
"Columbus, MS",MS,77454,139065,3060,0.3527386498708893,0.6333255912450644
"Columbus, MS",Total,78432,145239,3101,0.3458628049318258,0.6404626673487026
"Columbus, OH",OH,634004,629463,23594,0.49259825291885934,0.48907005961644395
"Columbus, OH",Total,634004,629463,23594,0.49259825291885934,0.48907005961644395
Corpus Christi,TX,94784,120145,2794,0.43534215493999256,0.5518250253762809
Corpus Christi,Total,94784,120145,2794,0.43534215493999256,0.5518250253762809
Dallas,TX,1590408,1737782,50396,0.4707318387041206,0.5143518619919695
Dallas,Total,1590408,1737782,50396,0.4707318387041206,0.5143518619919695
Davenport,IL,91527,105609,4178,0.45464796288385306,0.5245983885869835
Davenport,IA,85033,95406,3923,0.46122845271802215,0.5174927588114687
Davenport,Total,176560,201015,8101,0.45779358840062645,0.5212017340980513
Dayton,OH,237437,372962,11326,0.3819003578752664,0.5998825847440589
Dayton,Total,237437,372962,11326,0.3819003578752664,0.5998825847440589
Denver,CO,1508511,973413,65966,0.5920628441573224,0.38204671316265615
Denver,NE,5367,25043,713,0.17244481573113132,0.804646081675931
Denver,WY,14396,39465,2131,0.2571081583083298,0.7048328332618946
Denver,Total,1528274,1037921,68810,0.5799890322788761,0.39389716528052127
Des Moines,IA,297350,331580,13305,0.46299251831494703,0.5162907658411641
Des Moines,Total,297350,331580,13305,0.46299251831494703,0.5162907658411641
Detroit,MI,1547302,1151193,40580,0.5648994642351889,0.4202853152980477
Detroit,Total,1547302,1151193,40580,0.5648994642351889,0.4202853152980477
Dothan,AL,27364,81275,1390,0.24869807050868406,0.738668896381863
Dothan,GA,2450,2710,28,0.47224363916730916,0.5223592906707787
Dothan,Total,29814,83985,1418,0.2587638976887091,0.7289288907018929
Duluth,MI,3570,4600,106,0.43136781053649104,0.55582406959884
Duluth,MN,97390,82774,4227,0.5281711146422547,0.4489047730095287
Duluth,WI,30197,27728,909,0.513257640140055,0.47129211000441923
Duluth,Total,131157,115102,5242,0.5214969324177637,0.4576602081105045
El Paso,NM,47957,32802,1882,0.5803051753972,0.3969216248593313
El Paso,TX,178935,85525,4298,0.6657848324514991,0.31822308545234
El Paso,Total,226892,118327,6180,0.6456819740522881,0.3367311802253279
Elmira,NY,36329,57017,2009,0.38098683865555033,0.5979445230978974
Elmira,PA,4955,15742,429,0.23454511029063713,0.7451481586670453
Elmira,Total,41284,72759,2438,0.3544269022415673,0.6246426455816828
Erie,PA,87276,109667,3322,0.4358025616058722,0.5476094175217836
Erie,Total,87276,109667,3322,0.4358025616058722,0.5476094175217836
Eugene,OR,203596,160341,12539,0.5407941010847969,0.4258996589424027
Eugene,Total,203596,160341,12539,0.5407941010847969,0.4258996589424027
Eureka,CA,49445,28231,3201,0.6113604609468699,0.349060919668138
Eureka,Total,49445,28231,3201,0.6113604609468699,0.349060919668138
Evansville,IL,4445,20037,384,0.1787581436499638,0.8057990830853374
Evansville,IN,68295,116620,3454,0.3625596568437482,0.6191039926951887
Evansville,KY,41679,94840,2280,0.3002831432503116,0.6832902254339008
Evansville,Total,114419,231497,6118,0.32502258304595577,0.6575984137895772
Fargo,MN,53564,88963,3043,0.36796043140757023,0.6111355361681665
Fargo,ND,71921,101533,6003,0.40077010091553966,0.5657789888385518
Fargo,Total,125485,190496,9046,0.38607561833324616,0.5860928476711166
Flint,MI,283582,327226,10500,0.4564274079844457,0.5266727613357626
Flint,Total,283582,327226,10500,0.4564274079844457,0.5266727613357626
Fresno,CA,354076,340840,15752,0.4982298344656014,0.47960510393038663
Fresno,Total,354076,340840,15752,0.4982298344656014,0.47960510393038663
Ft. Myers,FL,288162,455441,6833,0.38399277220176004,0.6069018543886487
Ft. Myers,Total,288162,455441,6833,0.38399277220176004,0.6069018543886487
Ft. Smith,AR,112692,198950,9521,0.35088724417196254,0.619467373265289
Ft. Smith,OK,6334,27326,531,0.18525342926501126,0.7992161679974262
Ft. Smith,Total,119026,226276,10052,0.3349505000647242,0.6367622145803903
Ft. Wayne,IN,107401,196515,6824,0.3456297869601596,0.6324097316084186
Ft. Wayne,OH,5280,18736,462,0.2157038973772367,0.7654220116022551
Ft. Wayne,Total,112681,215251,7286,0.33614245058439585,0.6421224397257904
Gainesville,FL,98974,82375,2758,0.5375895539007208,0.44743002710380375
Gainesville,Total,98974,82375,2758,0.5375895539007208,0.44743002710380375
Glendive,MT,1088,4361,120,0.19536721134853655,0.7830849344586102
Glendive,Total,1088,4361,120,0.19536721134853655,0.7830849344586102
Grand Junction,CO,39223,73664,2658,0.3394608161322428,0.6375351594616816
Grand Junction,Total,39223,73664,2658,0.3394608161322428,0.6375351594616816
Grand Rapids,MI,512717,593697,23518,0.45375916426829227,0.5254271938488334
Grand Rapids,Total,512717,593697,23518,0.45375916426829227,0.5254271938488334
Great Falls,MT,30665,51351,2135,0.36440446340506943,0.6102244774274815
Great Falls,Total,30665,51351,2135,0.36440446340506943,0.6102244774274815
Green Bay,MI,4316,8117,174,0.3423494883794717,0.6438486555088443
Green Bay,WI,260730,362976,11199,0.410659862499114,0.5717012781439743
Green Bay,Total,265046,371093,11373,0.4093298657013306,0.5731059810474555
Greensboro,NC,421857,520727,12917,0.44150346258141016,0.5449779749053114
Greensboro,VA,1954,7485,95,0.20495070274805957,0.7850849590937696
Greensboro,Total,423811,528212,13012,0.43916645510266467,0.5473500961105038
"Greenville, NC",NC,162556,219535,5694,0.41919104658509226,0.5661255592660882
"Greenville, NC",Total,162556,219535,5694,0.41919104658509226,0.5661255592660882
"Greenville, SC",GA,10015,34127,407,0.22480863767985815,0.766055354777885
"Greenville, SC",NC,194761,242400,6888,0.43860249657132433,0.5458857018031794
"Greenville, SC",SC,245507,457627,11437,0.34357257711270117,0.6404220154470305
"Greenville, SC",Total,450283,734154,18732,0.3742475080391865,0.6101836067917309
Greenwood,MS,45404,28392,853,0.6082331980334633,0.3803399911586223
Greenwood,Total,45404,28392,853,0.6082331980334633,0.3803399911586223
Harlingen,TX,204493,150247,3392,0.5709989612768477,0.4195296706242391
Harlingen,Total,204493,150247,3392,0.5709989612768477,0.4195296706242391
Harrisburg,PA,422603,636717,19328,0.39178953653091647,0.5902917355800965
Harrisburg,Total,422603,636717,19328,0.39178953653091647,0.5902917355800965
Harrisonburg,VA,46448,77856,2578,0.3660724137387494,0.613609495436705
Harrisonburg,WV,820,2782,57,0.2241049467067505,0.7603170265099755
Harrisonburg,Total,47268,80638,2635,0.36209313548999933,0.6177216353482814
Hartford,CT,783326,546272,21868,0.5796120657123449,0.4042069870792162
Hartford,Total,783326,546272,21868,0.5796120657123449,0.4042069870792162
Hattiesburg,MS,46142,88456,1922,0.33798710811602695,0.6479343685906827
Hattiesburg,Total,46142,88456,1922,0.33798710811602695,0.6479343685906827
Helena,MT,20578,24582,1210,0.44377830493853787,0.5301272374379987
Helena,Total,20578,24582,1210,0.44377830493853787,0.5301272374379987
Honolulu,HI,366130,196864,11475,0.6373363923901899,0.3426886394217965
Honolulu,Total,366130,196864,11475,0.6373363923901899,0.3426886394217965
Houston,TX,1368169,1414630,37283,0.48515220479404497,0.501627257647118
Houston,Total,1368169,1414630,37283,0.48515220479404497,0.501627257647118
Huntsville,AL,154039,328334,8832,0.31359412058102015,0.6684256064168728
Huntsville,TN,2919,12281,408,0.187019477191184,0.7868400820092261
Huntsville,Total,156958,340615,9240,0.3096960811976015,0.6720723422643066
Idaho Falls,ID,44863,122664,6390,0.25795638149232103,0.7053019543805379
Idaho Falls,WY,9848,4341,488,0.6709818082714452,0.2957688901001567
Idaho Falls,Total,54711,127005,6878,0.2900993668939627,0.6734307560155678
Indianapolis,IN,613112,764973,29441,0.43559550587342616,0.5434876513826388
Indianapolis,Total,613112,764973,29441,0.43559550587342616,0.5434876513826388
"Jackson, MS",MS,207142,203708,5635,0.49735764793449944,0.4891124530295209
"Jackson, MS",Total,207142,203708,5635,0.49735764793449944,0.4891124530295209
"Jackson, TN",TN,31999,74715,1618,0.2953790200494775,0.6896854115127571
"Jackson, TN",Total,31999,74715,1618,0.2953790200494775,0.6896854115127571
Jacksonville,FL,395978,548482,13820,0.41321743123095545,0.5723608966064199
Jacksonville,GA,30923,69079,1225,0.3054817390617128,0.6824167465201971
Jacksonville,Total,426901,617561,15045,0.4029241902129953,0.5828758092207036
Johnstown,PA,117245,262393,5585,0.30435617810982213,0.6811457259820934
Johnstown,Total,117245,262393,5585,0.30435617810982213,0.6811457259820934
Jonesboro,AR,19634,58176,2219,0.24533606567619237,0.7269364855239976
Jonesboro,Total,19634,58176,2219,0.24533606567619237,0.7269364855239976
Joplin,KS,16952,41138,1191,0.285960088392571,0.6939491574028778
Joplin,MO,23553,79636,1883,0.22416057560529923,0.7579183797776763
Joplin,OK,2686,8545,207,0.2348312642070292,0.7470711662878126
Joplin,Total,43191,129319,3281,0.24569517210778707,0.7356406186892389
Kansas City,KS,288692,246131,11853,0.5280861058469734,0.45023194725943705
Kansas City,MO,345653,376875,14548,0.46895164135041706,0.511310909594126
Kansas City,Total,634345,623006,26401,0.49413360212876006,0.48530089923910535
Knoxville,KY,4008,23171,274,0.14599497322696972,0.8440243324955379
Knoxville,TN,177074,424444,11086,0.28905132842749964,0.6928521524508492
Knoxville,Total,181082,447615,11360,0.2829154278447076,0.6993361528738846
La Crosse,MN,18186,19561,866,0.47098127573615106,0.5065910444668894
La Crosse,WI,125223,139256,5155,0.4644184338770333,0.5164630573295652
La Crosse,Total,143409,158817,6021,0.4652405376208041,0.5152264255613194
"Lafayette, IN",IN,36026,37588,1948,0.47677403986130595,0.4974458060930097
"Lafayette, IN",Total,36026,37588,1948,0.47677403986130595,0.4974458060930097
"Lafayette, LA",LA,94341,202146,4941,0.3129802141805008,0.6706278116167045
"Lafayette, LA",Total,94341,202146,4941,0.3129802141805008,0.6706278116167045
Lake Charles,LA,30956,79886,2027,0.27426485571769044,0.7077762716069071
Lake Charles,Total,30956,79886,2027,0.27426485571769044,0.7077762716069071
Lansing,MI,185357,168944,6863,0.5132211405344941,0.4677764118239913
Lansing,Total,185357,168944,6863,0.5132211405344941,0.4677764118239913
Laredo,TX,43646,27931,694,0.6039213515794717,0.3864759031976865
Laredo,Total,43646,27931,694,0.6039213515794717,0.3864759031976865
Las Vegas,NV,529470,450525,20339,0.529293216065834,0.45037457489198607
Las Vegas,Total,529470,450525,20339,0.529293216065834,0.45037457489198607
Lexington,KY,217264,391108,11264,0.3506316611688152,0.6311899244072326
Lexington,Total,217264,391108,11264,0.3506316611688152,0.6311899244072326
Lima,OH,21995,70326,1547,0.23431840456811692,0.7492010056675331
Lima,Total,21995,70326,1547,0.23431840456811692,0.7492010056675331
Lincoln,KS,760,3945,81,0.15879648976180527,0.8242791475135813
Lincoln,NE,129202,224012,9635,0.3560764946299976,0.617369759872564
Lincoln,Total,129962,227957,9716,0.3535082350701103,0.620063378078801
Little Rock,AR,230264,370596,16691,0.3728663705507723,0.6001059021845969
Little Rock,Total,230264,370596,16691,0.3728663705507723,0.6001059021845969
